GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
supplier-service,mtogo.supplier.server,Main,20,0,0,0,8,0,3,0,3,0
supplier-service,mtogo.supplier.server,LegacyDBAdapter,100,40,2,2,25,12,5,6,4,5
supplier-service,mtogo.supplier.server,JavalinBuilder,100,0,2,0,27,0,12,0,11,0
supplier-service,mtogo.supplier.factory,OrderDTOFactory,8,41,1,1,2,8,2,2,1,2
supplier-service,mtogo.supplier.DTO,LegacyOrderDetailsDTO,0,37,0,0,0,12,0,2,0,2
supplier-service,mtogo.supplier.DTO,OrderLineDTO,0,15,0,0,0,6,0,1,0,1
supplier-service,mtogo.supplier.server.security,PublicKeyLoader,75,0,6,0,15,0,5,0,2,0
supplier-service,mtogo.supplier.server.security,Middleware,128,0,18,0,31,0,12,0,3,0
supplier-service,mtogo.supplier.server.security,JwtTokenParser,17,0,0,0,5,0,2,0,2,0
supplier-service,mtogo.supplier.server.security,AppRole,33,0,0,0,6,0,1,0,1,0
supplier-service,mtogo.supplier.exceptions,ExceptionHandler,29,0,0,0,6,0,3,0,3,0
supplier-service,mtogo.supplier.exceptions,APIException,10,0,0,0,4,0,2,0,2,0
supplier-service,mtogo.supplier.exceptions,ExceptionHandler.ErrorMessage,12,0,0,0,1,0,1,0,1,0
supplier-service,mtogo.supplier.messaging,Producer,22,87,3,3,7,24,4,5,1,5
